,Location,Truck,Start_Time,End_Time,Date
8862,600 West Chicago Avenue,Windy City Patty Wagon,11:15 AM,01:30 PM,2014-09-17
8863,600 West Chicago Avenue,The Roost Truck,06:57 AM,08:57 AM,2014-09-18
8864,600 West Chicago Avenue,Auntie Vee's Cupcakes,02:14 PM,04:14 PM,2014-09-18
8865,600 West Chicago Avenue,Bob Cha Food Truck,11:30 AM,01:30 PM,2014-09-18
8866,600 West Chicago Avenue,Caponies Express,11:00 AM,01:00 PM,2014-09-18
8867,600 West Chicago Avenue,Beaver's Donuts,07:00 AM,07:44 AM,2014-09-18
8868,600 West Chicago Avenue,Soups in the Loop,10:47 AM,01:30 PM,2014-09-19
8869,600 West Chicago Avenue,Eastman Egg,07:12 AM,09:12 AM,2014-09-19
8870,Rush Hospital,Eastman Egg,07:34 AM,10:00 AM,2014-09-15
8871,Rush Hospital,Haute Sausage,11:45 AM,01:45 PM,2014-09-17
8872,Rush Hospital,Cupcakes for Courage,11:53 AM,01:30 PM,2014-09-17
8873,University of Chicago,PORKCHOP,12:05 PM,02:05 PM,2014-09-15
8874,University of Chicago,Tamale Spaceship,12:05 PM,02:05 PM,2014-09-15
8875,University of Chicago,Mina's,11:00 AM,01:00 PM,2014-09-15
8876,University of Chicago,PIKO Street Kitchen,11:00 AM,01:30 PM,2014-09-15
8877,University of Chicago,The Roost Truck,11:00 AM,01:00 PM,2014-09-15
8878,University of Chicago,The Jibarito Stop,11:04 AM,01:04 PM,2014-09-15
8879,University of Chicago,Jack's Fork in the Road,10:30 AM,02:00 PM,2014-09-15
8880,University of Chicago,The Fat Shallot,11:00 AM,02:00 PM,2014-09-15
8881,University of Chicago,Eleaven Food Co.,09:20 AM,01:00 PM,2014-09-15
8882,University of Chicago,La Boulangerie,09:20 AM,01:00 PM,2014-09-15
8883,University of Chicago,Caponies Express,10:58 AM,01:00 PM,2014-09-16
8884,University of Chicago,PORKCHOP,12:00 PM,02:00 PM,2014-09-16
8885,University of Chicago,Eleaven Food Co.,12:00 PM,02:00 PM,2014-09-16
8886,University of Chicago,Don Rafa,12:00 PM,02:00 PM,2014-09-16
8887,University of Chicago,Beaver's Donuts,07:30 AM,03:00 PM,2014-09-16
8888,University of Chicago,Windy City Patty Wagon,11:30 AM,01:30 PM,2014-09-16
8889,University of Chicago,Mina's,10:34 AM,01:00 PM,2014-09-16
8890,University of Chicago,Pierogi Street,11:00 AM,02:00 PM,2014-09-16
8891,University of Chicago,Haute Sausage,11:00 AM,01:00 PM,2014-09-16
8892,University of Chicago,Milts BBQ Truck,11:30 AM,01:30 PM,2014-09-16
8893,University of Chicago,La Boulangerie,06:52 AM,01:00 PM,2014-09-16
8894,University of Chicago,Tamale Spaceship,12:00 PM,02:00 PM,2014-09-17
8895,University of Chicago,Mina's,11:30 AM,01:30 PM,2014-09-17
8896,University of Chicago,Taquero Fusion,10:56 AM,01:30 PM,2014-09-17
8897,University of Chicago,PORKCHOP,11:15 AM,01:15 PM,2014-09-17
8898,University of Chicago,The Salsa Truck,11:30 AM,01:30 PM,2014-09-17
8899,University of Chicago,Harold's Chicken Shack,11:15 AM,01:15 PM,2014-09-17
8900,University of Chicago,La Boulangerie,10:48 AM,01:48 PM,2014-09-17
8901,University of Chicago,Yum Dum Truck,11:00 AM,01:00 PM,2014-09-17
8902,University of Chicago,Chicago Lunch Box,11:15 AM,01:15 PM,2014-09-17
8903,University of Chicago,Bombay Wraps,11:06 AM,01:06 PM,2014-09-17
8904,University of Chicago,Pierogi Street,12:00 PM,02:00 PM,2014-09-17
8905,University of Chicago,Da Lobsta,11:20 AM,01:20 PM,2014-09-18
8906,University of Chicago,Don Rafa,11:20 AM,01:20 PM,2014-09-18
8907,University of Chicago,Cupcakes for Courage,11:00 AM,01:00 PM,2014-09-18
8908,University of Chicago,Döner Men,11:20 AM,01:20 PM,2014-09-18
8909,University of Chicago,Eleaven Food Co.,11:20 AM,01:20 PM,2014-09-18
8910,University of Chicago,Pierogi Street,10:45 AM,01:30 PM,2014-09-18
8911,University of Chicago,The Roost Truck,10:43 AM,01:00 PM,2014-09-18
8912,University of Chicago,Caponies Express,11:08 AM,01:08 PM,2014-09-19
8913,University of Chicago,Auntie Vee's Cupcakes,09:34 AM,11:34 AM,2014-09-19
8914,University of Chicago,La Boulangerie,07:12 AM,01:12 PM,2014-09-19
8915,University of Chicago,Soups in the Loop,11:00 AM,01:00 PM,2014-09-19
8916,University of Chicago,Pierogi Street,11:00 AM,01:30 PM,2014-09-19
8917,University of Chicago,The Big Shish,11:30 AM,01:30 PM,2014-09-19
8918,University of Chicago,Chicago Lunch Box,10:54 AM,01:00 PM,2014-09-19
8919,University of Chicago,Taquero Fusion,11:30 AM,01:00 PM,2014-09-19
8920,University of Chicago,The Slide Ride,11:00 AM,01:30 PM,2014-09-19
8921,Schaumburg Area,The Pizza Via,12:00 PM,01:30 PM,2014-09-14
8922,Schaumburg Area,Toasty Cheese,11:30 AM,01:30 PM,2014-09-16
8923,Schaumburg Area,Soups in the Loop,11:00 AM,01:00 PM,2014-09-16
8924,Schaumburg Area,The Pizza Via,04:30 PM,07:00 PM,2014-09-17
8925,Schaumburg Area,The Pizza Via,11:00 AM,01:30 PM,2014-09-17
8926,Schaumburg Area,Best Truckin' BBQ,11:00 AM,02:00 PM,2014-09-17
8927,Schaumburg Area,Chicago Pizza Boss,11:30 AM,01:30 PM,2014-09-18
8928,Schaumburg Area,Toasty Cheese,11:00 AM,02:00 PM,2014-09-18
8929,Schaumburg Area,Toasty Cheese,04:00 PM,09:00 PM,2014-09-19
8930,Schaumburg Area,Gia Via Sweets,04:00 PM,10:00 PM,2014-09-19
8931,Schaumburg Area,PIKO Street Kitchen,04:00 PM,10:00 PM,2014-09-19
8932,Schaumburg Area,Jerk,04:00 PM,10:00 PM,2014-09-19
8933,Schaumburg Area,Chicago Pizza Boss,04:00 PM,10:00 PM,2014-09-19
8934,Schaumburg Area,The Pizza Via,11:00 AM,01:30 PM,2014-09-19
8935,Schaumburg Area,OMango,04:00 PM,10:00 PM,2014-09-19
8936,Schaumburg Area,Chicago Cupcake,04:00 PM,10:00 PM,2014-09-19
8937,Schaumburg Area,Grill Chasers,04:00 PM,10:00 PM,2014-09-19
8938,Schaumburg Area,Bridgeport Pasty,04:00 PM,10:00 PM,2014-09-19
8939,Schaumburg Area,Sweet Ride,04:00 PM,10:00 PM,2014-09-19
8940,Schaumburg Area,Haute Sausage,04:00 PM,10:00 PM,2014-09-19
8941,Schaumburg Area,Best Truckin' BBQ,03:00 PM,10:00 PM,2014-09-19
8942,Schaumburg Area,Jack's Fork in the Road,04:00 PM,10:00 PM,2014-09-19
8943,Schaumburg Area,The Pizza Via,04:00 PM,10:00 PM,2014-09-19
8944,Schaumburg Area,The Calle Wagon,10:00 AM,02:00 PM,2014-09-20
8945,Schaumburg Area,Toasty Cheese,11:00 AM,02:00 PM,2014-09-20
8946,Schaumburg Area,Best Truckin' BBQ,10:00 AM,02:00 PM,2014-09-20
8947,Clark and Monroe,La Cocinita,07:23 AM,09:23 AM,2014-09-09
8948,Clark and Monroe,Cupcake Gangsters,11:30 AM,01:30 PM,2014-09-09
8949,Clark and Monroe,The Jibarito Stop,11:30 AM,01:30 PM,2014-09-09
8950,Clark and Monroe,Jack's Fork in the Road,11:00 AM,01:30 PM,2014-09-09
8951,Clark and Monroe,La Cocinita,11:30 AM,01:00 PM,2014-09-09
8952,Clark and Monroe,Bridgeport Pasty,11:00 AM,01:30 PM,2014-09-09
8953,Clark and Monroe,Doughnut Vault,07:02 AM,11:35 AM,2014-09-09
8954,Clark and Monroe,La Boulangerie,08:24 AM,01:24 PM,2014-09-09
8955,Clark and Monroe,Blue Street Market,06:11 AM,01:11 PM,2014-09-09
8956,Clark and Monroe,The Roost Truck,06:56 AM,07:00 AM,2014-09-10
8957,Clark and Monroe,The More Mobile,02:30 PM,03:30 PM,2014-09-10
8958,Clark and Monroe,Döner Men,10:51 AM,01:30 PM,2014-09-10
8959,Clark and Monroe,Beaver's Donuts,11:58 AM,02:00 PM,2014-09-10
8960,Clark and Monroe,Jerk,11:00 AM,02:00 PM,2014-09-10
8961,Clark and Monroe,Doughnut Vault,06:45 AM,11:52 AM,2014-09-10
8962,Clark and Monroe,The Fat Shallot,11:00 AM,01:45 PM,2014-09-10
8963,Clark and Monroe,5411 Empanadas,10:52 AM,01:30 PM,2014-09-10
8964,Clark and Monroe,Haute Sausage,10:51 AM,01:30 PM,2014-09-10
8965,Clark and Monroe,Bridgeport Pasty,11:06 AM,01:06 PM,2014-09-11
8966,Clark and Monroe,Chicago Lunch Box,10:52 AM,01:00 PM,2014-09-11
8967,Clark and Monroe,The Corner Farmacy,08:07 AM,12:27 PM,2014-09-11
8968,Clark and Monroe,Soups in the Loop,10:59 AM,01:30 PM,2014-09-11
8969,Clark and Monroe,Cupcake Gangsters,11:30 AM,11:51 AM,2014-09-11
8970,Clark and Monroe,Doughnut Vault,07:03 AM,01:00 PM,2014-09-11
8971,Clark and Monroe,Taquero Fusion,11:00 AM,01:30 PM,2014-09-11
8972,Clark and Monroe,Gino's Steak Truck,12:00 PM,02:00 PM,2014-09-11
8973,Clark and Monroe,Model Chef,11:00 AM,02:00 PM,2014-09-11
8974,Clark and Monroe,Doughnut Vault,06:44 AM,01:00 PM,2014-09-12
8975,Clark and Monroe,Flirty Cupcakes,01:30 PM,03:00 PM,2014-09-12
8976,Clark and Monroe,The Roost Truck,06:55 AM,09:13 AM,2014-09-12
8977,Clark and Monroe,Yum Dum Truck,11:00 AM,01:30 PM,2014-09-12
8978,Clark and Monroe,Model Chef,10:30 AM,01:30 PM,2014-09-12
8979,Clark and Monroe,Cupcake Gangsters,11:30 AM,01:30 PM,2014-09-12
8980,Clark and Monroe,Tamale Spaceship,11:00 AM,01:30 PM,2014-09-12
8981,Clark and Monroe,Model Chef,08:00 AM,10:00 AM,2014-09-12
8982,Clark and Monroe,Blue Street Market,07:59 AM,01:00 PM,2014-09-12
8983,Clark and Monroe,Da Lobsta,11:00 AM,01:00 PM,2014-09-08
8984,Clark and Monroe,The Big Shish,11:30 AM,01:30 PM,2014-09-08
8985,Clark and Monroe,Cupcake Gangsters,11:30 AM,11:35 AM,2014-09-08
8986,Clark and Monroe,Gino's Steak Truck,11:00 AM,01:30 PM,2014-09-08
8987,Clark and Monroe,Doughnut Vault,06:58 AM,10:51 AM,2014-09-08
8988,Clark and Monroe,The Roost Truck,06:51 AM,09:00 AM,2014-09-08
8989,Clark and Monroe,The Slide Ride,10:59 AM,01:30 PM,2014-09-08
8990,Lasalle and Adams,Jerk,11:00 AM,01:00 PM,2014-09-08
8991,Lasalle and Adams,Windy City Patty Wagon,11:20 AM,01:30 PM,2014-09-08
8992,Lasalle and Adams,Mina's,11:00 AM,01:30 PM,2014-09-09
8993,Lasalle and Adams,Model Chef,10:00 AM,02:00 PM,2014-09-09
8994,Lasalle and Adams,The Corner Farmacy,08:37 AM,01:30 PM,2014-09-10
8995,Lasalle and Adams,Chicago Cupcake,03:20 PM,04:15 PM,2014-09-10
8996,Lasalle and Adams,Bob Cha Food Truck,11:00 AM,01:00 PM,2014-09-10
8997,Lasalle and Adams,The Big Shish,11:00 AM,01:30 PM,2014-09-11
8998,Lasalle and Adams,Eastman Egg,07:20 AM,10:00 AM,2014-09-11
8999,Lasalle and Adams,Bob Cha Food Truck,10:50 AM,01:30 PM,2014-09-12
9000,Lasalle and Adams,The Corner Farmacy,07:38 AM,01:38 PM,2014-09-12
9001,Wabash and Jackson,Haute Sausage,11:51 AM,01:51 PM,2014-09-09
9002,Wabash and Jackson,Chicago Cupcake,04:30 PM,05:25 PM,2014-09-10
9003,Wabash and Jackson,Milts BBQ Truck,11:50 AM,01:50 PM,2014-09-10
9004,Wabash and Jackson,Chicago Cupcake,03:50 PM,05:00 PM,2014-09-12
9005,Willis Tower,Flirty Cupcakes,11:25 AM,01:30 PM,2014-09-09
9006,Willis Tower,Cupcakes for Courage,04:22 PM,06:22 PM,2014-09-09
9007,Willis Tower,Chicago Cupcake,02:35 PM,04:35 PM,2014-09-09
9008,Willis Tower,The More Mobile,11:49 AM,01:49 PM,2014-09-10
9009,Willis Tower,The More Mobile,11:30 AM,11:49 AM,2014-09-10
9010,Madison and Wacker,Tamale Spaceship,11:00 AM,01:00 PM,2014-09-08
9011,Madison and Wacker,Chicago Cupcake,11:13 AM,01:13 PM,2014-09-09
9012,Madison and Wacker,Tamale Spaceship,11:04 AM,01:30 PM,2014-09-09
9013,Madison and Wacker,5411 Empanadas,10:58 AM,01:30 PM,2014-09-11
9014,Madison and Wacker,Cupcakes for Courage,02:45 PM,03:45 PM,2014-09-11
9015,Madison and Wacker,Cupcakes for Courage,04:15 PM,05:00 PM,2014-09-12
9016,Madison and Wacker,Beaver's Donuts,07:39 AM,09:39 AM,2014-09-12
9017,Wacker and Adams,The Fat Shallot,11:00 AM,01:30 PM,2014-09-08
9018,Wacker and Adams,Gino's Steak Truck,12:00 PM,02:00 PM,2014-09-09
9019,Wacker and Adams,Husky Hog BBQ,11:00 AM,02:00 PM,2014-09-09
9020,Wacker and Adams,The Big Shish,11:00 AM,01:30 PM,2014-09-09
9021,Wacker and Adams,Model Chef,11:00 AM,01:22 PM,2014-09-10
9022,Wacker and Adams,The Roost Truck,10:53 AM,01:00 PM,2014-09-10
9023,Wacker and Adams,Chicago Cupcake,11:30 AM,01:45 PM,2014-09-10
9024,Wacker and Adams,Bob Cha Food Truck,11:00 AM,01:30 PM,2014-09-11
9025,Wacker and Adams,The Slide Ride,10:39 AM,01:30 PM,2014-09-11
9026,Wacker and Adams,Yum Dum Truck,11:00 AM,01:30 PM,2014-09-11
9027,Wacker and Adams,Jack's Fork in the Road,10:30 AM,02:00 PM,2014-09-11
9028,Wacker and Adams,Chicago Cupcake,11:00 AM,12:50 PM,2014-09-11
9029,Wacker and Adams,Tamale Spaceship,11:00 AM,01:00 PM,2014-09-11
9030,Wacker and Adams,La Cocinita,10:59 AM,01:30 PM,2014-09-11
9031,Wacker and Adams,Da Lobsta,11:00 AM,01:30 PM,2014-09-12
9032,Wacker and Adams,5411 Empanadas,10:32 AM,01:00 PM,2014-09-12
9033,Wacker and Adams,Chicago Cupcake,11:00 AM,01:30 PM,2014-09-12
9034,Wacker and Adams,Gino's Steak Truck,11:00 AM,01:30 PM,2014-09-12
9035,Wacker and Adams,The Jibarito Stop,10:55 AM,01:00 PM,2014-09-12
9036,Wacker and Adams,The Salsa Truck,10:42 AM,01:00 PM,2014-09-12
9037,Wacker and Adams,Döner Men,04:30 PM,06:30 PM,2014-09-12
9038,Wabash and Van Buren,Cupcake Gangsters,02:00 PM,02:02 PM,2014-09-08
9039,Wabash and Van Buren,Cupcake Gangsters,02:02 PM,02:45 PM,2014-09-08
9040,Wabash and Van Buren,Flirty Cupcakes,04:30 PM,06:14 PM,2014-09-09
9041,Wabash and Van Buren,Haute Sausage,10:20 AM,11:51 AM,2014-09-09
9042,Wabash and Van Buren,Cupcake Gangsters,02:00 PM,03:30 PM,2014-09-09
9043,Wabash and Van Buren,Cupcakes for Courage,02:57 PM,04:00 PM,2014-09-09
9044,Wabash and Van Buren,Cupcake Gangsters,02:00 PM,03:00 PM,2014-09-10
9045,Wabash and Van Buren,Beaver's Donuts,07:00 AM,10:00 AM,2014-09-10
9046,Wabash and Van Buren,Chicago Cupcake,05:30 PM,06:30 PM,2014-09-10
9047,Wabash and Van Buren,Cupcake Gangsters,01:49 PM,02:00 PM,2014-09-11
9048,Wabash and Van Buren,Giordano's,10:59 AM,01:30 PM,2014-09-11
9049,Wabash and Van Buren,Cupcake Gangsters,02:11 PM,02:45 PM,2014-09-12
9050,Wabash and Van Buren,Chicago Cupcake,05:05 PM,06:15 PM,2014-09-12
9051,Franklin and Randolph,Beaver's Donuts,12:13 PM,02:00 PM,2014-09-08
9052,Franklin and Randolph,Cheesies Truck,11:30 AM,01:30 PM,2014-09-09
9053,Franklin and Randolph,Chicago Cupcake,01:30 PM,02:30 PM,2014-09-09
9054,Franklin and Randolph,Cupcakes for Courage,01:16 PM,02:45 PM,2014-09-09
9055,Franklin and Randolph,Flirty Cupcakes,01:45 PM,02:16 PM,2014-09-11
9056,Franklin and Randolph,Chicago Cupcake,01:45 PM,02:30 PM,2014-09-12
9057,Franklin and Randolph,Cupcakes for Courage,03:15 PM,04:00 PM,2014-09-12
9058,Franklin and Randolph,Eastman Egg,11:06 AM,01:06 PM,2014-09-12
9059,Adams and Clinton,Flirty Cupcakes,11:30 AM,01:00 PM,2014-09-11
9060,Clinton and Madison,The More Mobile,11:11 AM,02:00 PM,2014-09-09
9061,Clinton and Madison,Chicago Cupcake,04:45 PM,06:00 PM,2014-09-09
9062,Clinton and Madison,Yum Dum Truck,05:57 PM,07:57 PM,2014-09-09
9063,Clinton and Madison,Cupcakes for Courage,04:43 PM,06:43 PM,2014-09-10
9064,Clinton and Madison,Giordano's,05:19 PM,07:19 PM,2014-09-11
9065,Clinton and Madison,Flirty Cupcakes,04:45 PM,04:59 PM,2014-09-12
9066,Randolph and Columbus,5411 Empanadas,10:49 AM,01:17 PM,2014-09-09
9067,Randolph and Columbus,The Salsa Truck,11:09 AM,01:09 PM,2014-09-09
9068,Randolph and Columbus,The Slide Ride,11:00 AM,01:30 PM,2014-09-09
9069,Randolph and Columbus,Da Lobsta,11:00 AM,01:00 PM,2014-09-10
9070,Randolph and Columbus,Haute Sausage,11:00 AM,01:00 PM,2014-09-11
9071,Randolph and Columbus,Cupcakes for Courage,04:00 PM,05:30 PM,2014-09-11
9072,Hubbard and Wells,Doughnut Vault,12:00 PM,02:00 PM,2014-09-08
9073,Hubbard and Wells,Meatloaf-a-go-go,05:44 PM,07:00 PM,2014-09-09
9074,450 N. Cityfront Plaza,Döner Men,10:39 AM,01:00 PM,2014-09-09
9075,450 N. Cityfront Plaza,Bob Cha Food Truck,11:00 AM,01:00 PM,2014-09-09
9076,450 N. Cityfront Plaza,Cupcake Gangsters,11:51 AM,12:15 AM,2014-09-11
9077,450 N. Cityfront Plaza,Windy City Patty Wagon,11:00 AM,01:00 PM,2014-09-11
9078,450 N. Cityfront Plaza,Mina's,10:59 AM,01:30 PM,2014-09-11
9079,450 N. Cityfront Plaza,La Cocinita,11:00 AM,01:30 PM,2014-09-12
9080,450 N. Cityfront Plaza,Windy City Patty Wagon,11:17 AM,01:17 PM,2014-09-12
9081,450 N. Cityfront Plaza,Haute Sausage,11:00 AM,01:30 PM,2014-09-12
9082,Sangamon and Monroe,The Fat Shallot,05:30 PM,08:30 PM,2014-09-10
9083,Sangamon and Monroe,Chicago Cupcake,06:45 PM,07:30 PM,2014-09-10
9084,Sangamon and Monroe,Doughnut Vault,05:32 PM,07:32 PM,2014-09-11
9085,Sangamon and Monroe,Doughnut Vault,04:48 PM,06:48 PM,2014-09-12
9086,Sangamon and Monroe,Eastman Egg,09:45 AM,12:00 PM,2014-09-13
9087,Sangamon and Monroe,Doughnut Vault,02:25 PM,04:25 PM,2014-09-13
9088,Sangamon and Monroe,Doughnut Vault,05:32 PM,07:32 PM,2014-09-13
9089,600 West Chicago Avenue,Bridgeport Pasty,10:56 AM,01:00 PM,2014-09-08
9090,600 West Chicago Avenue,Bob Cha Food Truck,10:32 AM,01:00 PM,2014-09-08
9091,600 West Chicago Avenue,5411 Empanadas,10:42 AM,01:00 PM,2014-09-08
9092,600 West Chicago Avenue,Soups in the Loop,11:30 AM,01:30 PM,2014-09-09
9093,600 West Chicago Avenue,Chicago Lunch Box,10:32 AM,01:00 PM,2014-09-09
9094,600 West Chicago Avenue,The Roost Truck,11:00 AM,01:00 PM,2014-09-09
9095,600 West Chicago Avenue,The Roost Truck,06:49 AM,09:00 AM,2014-09-09
9096,600 West Chicago Avenue,La Cocinita,10:52 AM,01:30 PM,2014-09-10
9097,600 West Chicago Avenue,Bombay Wraps,11:06 AM,01:06 PM,2014-09-10
9098,600 West Chicago Avenue,Milts BBQ Truck,11:00 AM,01:30 PM,2014-09-11
9099,600 West Chicago Avenue,Beaver's Donuts,07:00 AM,10:00 AM,2014-09-11
9100,600 West Chicago Avenue,The Roost Truck,06:55 AM,08:34 AM,2014-09-11
9101,600 West Chicago Avenue,Caponies Express,10:40 AM,12:40 PM,2014-09-11
9102,600 West Chicago Avenue,The Fat Shallot,11:00 AM,01:45 PM,2014-09-12
9103,600 West Chicago Avenue,Soups in the Loop,11:00 AM,01:00 PM,2014-09-12
9104,Rush Hospital,Don Rafa,10:40 AM,12:40 PM,2014-09-10
9105,Rush Hospital,Haute Sausage,11:00 AM,01:30 PM,2014-09-10
9106,Rush Hospital,Cupcakes for Courage,11:59 AM,01:30 PM,2014-09-10
9107,Southport and Addison,Eastman Egg,09:00 AM,11:30 AM,2014-09-07
9108,University of Chicago,Harold's Chicken Shack,11:00 AM,01:00 PM,2014-09-08
9109,University of Chicago,Soups in the Loop,11:09 AM,01:15 PM,2014-09-08
9110,University of Chicago,PORKCHOP,11:00 AM,01:00 PM,2014-09-08
9111,University of Chicago,Pierogi Street,11:00 AM,01:00 PM,2014-09-08
9112,University of Chicago,The Roost Truck,10:48 AM,01:30 PM,2014-09-08
9113,University of Chicago,Mina's,10:30 AM,12:30 PM,2014-09-08
9114,University of Chicago,Chicago Lunch Box,11:12 AM,01:00 PM,2014-09-08
9115,University of Chicago,La Boulangerie,07:09 AM,02:09 PM,2014-09-08
9116,University of Chicago,Jack's Fork in the Road,11:00 AM,02:00 PM,2014-09-08
9117,University of Chicago,Milts BBQ Truck,11:00 AM,01:30 PM,2014-09-09
9118,University of Chicago,Beaver's Donuts,07:30 AM,03:00 PM,2014-09-09
9119,University of Chicago,Eleaven Food Co.,09:05 AM,11:05 AM,2014-09-09
9120,University of Chicago,Windy City Patty Wagon,11:00 AM,01:30 PM,2014-09-09
9121,University of Chicago,Haute Sausage,10:31 AM,12:31 PM,2014-09-09
9122,University of Chicago,Caponies Express,11:00 AM,01:30 PM,2014-09-09
9123,University of Chicago,Harold's Chicken Shack,11:00 AM,01:00 PM,2014-09-09
9124,University of Chicago,PORKCHOP,11:00 AM,01:00 PM,2014-09-09
9125,University of Chicago,The Fat Shallot,11:00 AM,02:00 PM,2014-09-09
9126,University of Chicago,Tittles Cupcakes,12:00 PM,01:27 PM,2014-09-10
9127,University of Chicago,Yum Dum Truck,10:40 AM,01:00 PM,2014-09-10
9128,University of Chicago,Chicago Lunch Box,10:59 AM,01:30 PM,2014-09-10
9129,University of Chicago,Tamale Spaceship,11:00 AM,12:15 PM,2014-09-10
9130,University of Chicago,Harold's Chicken Shack,11:00 AM,01:00 PM,2014-09-10
9131,University of Chicago,Eleaven Food Co.,09:05 AM,11:05 AM,2014-09-10
9132,University of Chicago,The Slide Ride,01:44 PM,02:00 PM,2014-09-10
9133,University of Chicago,Taquero Fusion,11:53 AM,01:53 PM,2014-09-10
9134,University of Chicago,Mina's,10:53 AM,01:00 PM,2014-09-10
9135,University of Chicago,La Boulangerie,09:05 AM,01:05 PM,2014-09-10
9136,University of Chicago,The Slide Ride,10:53 AM,01:30 PM,2014-09-10
9137,University of Chicago,La Boulangerie,08:11 AM,01:00 PM,2014-09-11
9138,University of Chicago,Cupcakes for Courage,11:00 AM,01:00 PM,2014-09-11
9139,University of Chicago,Husky Hog BBQ,11:36 AM,01:36 PM,2014-09-11
9140,University of Chicago,The Salsa Truck,11:01 AM,01:01 PM,2014-09-11
9141,University of Chicago,The Roost Truck,11:00 AM,01:00 PM,2014-09-11
9142,University of Chicago,The Jibarito Stop,10:37 AM,01:00 PM,2014-09-11
9143,University of Chicago,Döner Men,11:00 AM,01:30 PM,2014-09-11
9144,University of Chicago,Da Lobsta,11:00 AM,01:00 PM,2014-09-11
9145,University of Chicago,Eleaven Food Co.,11:55 AM,01:55 PM,2014-09-11
9146,University of Chicago,Pierogi Street,11:00 AM,01:30 PM,2014-09-11
9147,University of Chicago,La Boulangerie,07:01 AM,01:00 PM,2014-09-12
9148,University of Chicago,PORKCHOP,11:50 AM,01:50 PM,2014-09-12
9149,University of Chicago,Eleaven Food Co.,11:50 AM,01:50 PM,2014-09-12
9150,University of Chicago,Haute Sausage,11:25 AM,01:25 PM,2014-09-12
9151,University of Chicago,Chicago Lunch Box,11:11 AM,01:00 PM,2014-09-12
9152,University of Chicago,Auntie Vee's Cupcakes,09:14 AM,02:00 PM,2014-09-12
9153,University of Chicago,Bombay Wraps,11:08 AM,01:08 PM,2014-09-12
9154,University of Chicago,Bridgeport Pasty,11:10 AM,01:10 PM,2014-09-12
9155,University of Chicago,The Big Shish,11:00 AM,01:30 PM,2014-09-12
9156,University of Chicago,Vegan Food Truck,11:00 AM,01:00 PM,2014-09-12
9157,University of Chicago,Auntie Vee's Cupcakes,02:28 PM,04:28 PM,2014-09-12
9158,University of Chicago,Mina's,11:04 AM,01:04 PM,2014-09-12
9159,University of Chicago,Caponies Express,11:42 AM,01:42 PM,2014-09-12
9160,"1815 South Meyers Road, Oakbrook Terrace, IL",Chicago Cupcake,03:00 PM,04:15 PM,2014-09-11
9161,Schaumburg Area,Marios Cart,04:58 PM,06:00 PM,2014-09-07
9162,Schaumburg Area,Toasty Cheese,11:30 AM,01:30 PM,2014-09-08
9163,Schaumburg Area,Chicago Cupcake,05:00 PM,08:00 PM,2014-09-09
9164,Schaumburg Area,Toasty Cheese,05:00 PM,08:00 PM,2014-09-09
9165,Schaumburg Area,Best Truckin' BBQ,11:00 AM,11:30 AM,2014-09-09
9166,Schaumburg Area,Toasty Cheese,05:00 PM,09:00 PM,2014-09-10
9167,Schaumburg Area,Best Truckin' BBQ,11:00 AM,02:00 PM,2014-09-10
9168,Schaumburg Area,Grill Chasers,11:15 AM,01:30 PM,2014-09-10
9169,Schaumburg Area,Chicago Cupcake,05:30 PM,08:30 PM,2014-09-11
9170,Schaumburg Area,Toasty Cheese,11:30 AM,01:30 PM,2014-09-11
9171,Schaumburg Area,Chicago Cupcake,01:50 PM,02:40 PM,2014-09-11
9172,Schaumburg Area,Toasty Cheese,05:30 PM,08:30 PM,2014-09-11
9173,Schaumburg Area,Chicago Cupcake,11:30 AM,01:30 PM,2014-09-11
9174,Schaumburg Area,Toasty Cheese,11:00 AM,02:00 PM,2014-09-11
9175,Schaumburg Area,The Pizza Via,11:00 AM,01:30 PM,2014-09-12
9176,Schaumburg Area,Flirty Cupcakes,06:37 PM,08:37 PM,2014-09-12
9177,Schaumburg Area,The Pizza Via,05:00 PM,09:00 PM,2014-09-12
9178,Schaumburg Area,Toasty Cheese,04:00 PM,07:00 PM,2014-09-13
9179,Clark and Monroe,The Big Shish,11:30 AM,01:00 PM,2014-09-04
9180,Clark and Monroe,Model Chef,11:00 PM,02:00 AM,2014-09-05
9181,Clark and Monroe,Cupcake Gangsters,11:30 AM,12:15 PM,2014-09-01
9182,Clark and Monroe,The Slide Ride,11:00 AM,01:30 PM,2014-09-01
9183,Clark and Monroe,Doughnut Vault,06:57 AM,09:56 AM,2014-09-01
9184,Clark and Monroe,The Big Shish,11:00 AM,01:30 PM,2014-09-01
9185,Clark and Monroe,Chicago Cupcake,01:25 PM,03:16 PM,2014-09-01
9186,Clark and Monroe,Da Lobsta,10:43 AM,01:00 PM,2014-09-01
9187,Clark and Monroe,Pleasant House Bakery,11:00 AM,12:19 PM,2014-09-01
9188,Clark and Monroe,Doughnut Vault,06:52 AM,11:00 AM,2014-09-02
9189,Clark and Monroe,Taquero Fusion,11:33 AM,01:33 PM,2014-09-02
9190,Clark and Monroe,Three Js,11:08 AM,01:15 PM,2014-09-02
9191,Clark and Monroe,Cupcake Gangsters,11:30 AM,11:54 AM,2014-09-02
9192,Clark and Monroe,The Jibarito Stop,10:54 AM,01:00 PM,2014-09-02
